question_id,subgraph_type,template_id,template_structure
25282,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
22528,simple question right,1,<S P ?O ; ?O instanceOf Type>
14816,left-subgraph,5,C RCD xD . xD RDE ?E
21388,simple question left,2,<?S P O ; ?S InstanceOf Type>
5057,statement_property,statement_property_2,(E pred F) prop ?value
12582,right-subgraph,1,E REF ?F . ?F RFG G
14805,left-subgraph,5,C RCD xD . xD RDE ?E
29878,simple question left,2,<?S P O ; ?S InstanceOf Type>
29908,simple question right,1,<S P ?O ; ?O instanceOf Type>
28152,center,1.1,E REF ?F
15468,right-subgraph,2,E REF xF . xF RFG ?G
20597,simple question left,2,<?S P O ; ?S InstanceOf Type>
28985,center,1.1,E REF ?F
17414,right-subgraph,2,E REF xF . xF RFG ?G
19595,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
11959,right-subgraph,1,E REF ?F . ?F RFG G
12551,right-subgraph,1,E REF ?F . ?F RFG G
10463,,2,
26918,center,1.1,E REF ?F
23353,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
5971,statement_property,statement_property_1,(E pred ?Obj ) prop value
11547,,3,
1261,statement_property,Count_1,Count Obj (ent-pred-obj)
23709,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
15689,right-subgraph,2,E REF xF . xF RFG ?G
12213,right-subgraph,1,E REF ?F . ?F RFG G
4534,statement_property,statement_property_2,(E pred F) prop ?value
21490,simple question left,2,<?S P O ; ?S InstanceOf Type>
13747,right-subgraph,1,E REF ?F . ?F RFG G
18593,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
6266,statement_property,statement_property_2,(E pred F) prop ?value
22271,simple question left,2,<?S P O ; ?S InstanceOf Type>
4970,statement_property,statement_property_2,(E pred F) prop ?value
13267,right-subgraph,1,E REF ?F . ?F RFG G
621,boolean double one_hop right subgraph,2,Ask (ent`-pred-obj1 . ent`-pred-obj2)
1436,statement_property,Count_1,Count Obj (ent-pred-obj)
1175,statement_property,Count_1,Count Obj (ent-pred-obj)
7097,statement_property,statement_property_1,(E pred ?Obj ) prop value
16358,right-subgraph,2,E REF xF . xF RFG ?G
11781,right-subgraph,1,E REF ?F . ?F RFG G
16022,right-subgraph,2,E REF xF . xF RFG ?G
8492,statement_property,statement_property_2,(E pred F) prop ?value
21577,simple question left,2,<?S P O ; ?S InstanceOf Type>
18441,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
1397,statement_property,Count_1,Count Obj (ent-pred-obj)
29437,center,1.1,E REF ?F
26945,center,1.1,E REF ?F
29430,center,1.1,E REF ?F
29612,center,1.1,E REF ?F
21523,simple question left,2,<?S P O ; ?S InstanceOf Type>
6975,statement_property,statement_property_2,(E pred F) prop ?value
26759,center,1.1,E REF ?F
1863,statement_property,Count_2,Count ent (ent-pred-obj)
16847,left-subgraph,5,C RCD xD . xD RDE ?E
29814,simple question right,1,<S P ?O ; ?O instanceOf Type>
5004,statement_property,statement_property_2,(E pred F) prop ?value
19755,simple question left,2,<?S P O ; ?S InstanceOf Type>
17709,left-subgraph,5,C RCD xD . xD RDE ?E
26233,center,1.1,E REF ?F
7128,statement_property,statement_property_1,(E pred ?Obj ) prop value
23343,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
28550,center,1.1,E REF ?F
4139,statement_property,statement_property_1,(E pred ?Obj ) prop value
22526,simple question right,1,<S P ?O ; ?O instanceOf Type>
2486,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
1584,statement_property,Count_1,Count Obj (ent-pred-obj)
6163,statement_property,statement_property_1,(E pred ?Obj ) prop value
11319,,3,
10317,,2,
11653,,3,
20448,simple question left,2,<?S P O ; ?S InstanceOf Type>
8416,statement_property,statement_property_1,(E pred ?Obj ) prop value
29392,center,1.1,E REF ?F
22893,simple question right,1,<S P ?O ; ?O instanceOf Type>
11503,,3,
20737,simple question right,1,<S P ?O ; ?O instanceOf Type>
13001,right-subgraph,1,E REF ?F . ?F RFG G
5105,statement_property,statement_property_1,(E pred ?Obj ) prop value
7413,statement_property,statement_property_2,(E pred F) prop ?value
19603,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
28267,center,1.1,E REF ?F
1578,statement_property,Count_1,Count Obj (ent-pred-obj)
20582,simple question left,2,<?S P O ; ?S InstanceOf Type>
7222,statement_property,statement_property_2,(E pred F) prop ?value
13628,right-subgraph,1,E REF ?F . ?F RFG G
4234,statement_property,statement_property_1,(E pred ?Obj ) prop value
12617,right-subgraph,1,E REF ?F . ?F RFG G
3965,statement_property,statement_property_2,(E pred F) prop ?value
6343,statement_property,statement_property_2,(E pred F) prop ?value
12408,right-subgraph,1,E REF ?F . ?F RFG G
24937,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
16732,left-subgraph,5,C RCD xD . xD RDE ?E
12285,right-subgraph,1,E REF ?F . ?F RFG G
7595,statement_property,statement_property_2,(E pred F) prop ?value
16540,left-subgraph,5,C RCD xD . xD RDE ?E
15373,left-subgraph,5,C RCD xD . xD RDE ?E
18725,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
1411,statement_property,Count_1,Count Obj (ent-pred-obj)
29904,simple question right,1,<S P ?O ; ?O instanceOf Type>
594,boolean double one_hop right subgraph,2,Ask (ent-pred-obj1 . ent-pred-obj2)
14646,left-subgraph,5,C RCD xD . xD RDE ?E
2549,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
15196,left-subgraph,5,C RCD xD . xD RDE ?E
12106,right-subgraph,1,E REF ?F . ?F RFG G
1955,statement_property,Count_2,Count ent (ent-pred-obj)
3002,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value)
27517,center,1.2,?D RDE E
19457,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
11227,,3,
8636,statement_property,statement_property_1,(E pred ?Obj ) prop value
1382,statement_property,Count_1,Count Obj (ent-pred-obj)
3892,statement_property,statement_property_1,(E pred ?Obj ) prop value
21049,simple question right,1,<S P ?O ; ?O instanceOf Type>
20002,simple question right,1,<S P ?O ; ?O instanceOf Type>
10428,,2,
16361,left-subgraph,5,C RCD xD . xD RDE ?E
17490,right-subgraph,2,E REF xF . xF RFG ?G
9557,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
21347,simple question left,2,<?S P O ; ?S InstanceOf Type>
18074,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
27799,center,1.1,E REF ?F
29682,center,1.1,E REF ?F
19199,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
22550,simple question left,2,<?S P O ; ?S InstanceOf Type>
17656,left-subgraph,5,C RCD xD . xD RDE ?E
20474,simple question left,2,<?S P O ; ?S InstanceOf Type>
920,boolean double one_hop right subgraph,2,Ask (ent-pred-obj1 . ent-pred-obj2`)
19279,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
15124,right-subgraph,2,E REF xF . xF RFG ?G
1988,statement_property,Count_2,Count ent (ent-pred-obj)
25949,center,1.2,?D RDE E
2698,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
26937,center,1.1,E REF ?F
23000,simple question left,2,<?S P O ; ?S InstanceOf Type>
16422,right-subgraph,2,E REF xF . xF RFG ?G
9220,statement_property,statement_property_2,(E pred F) prop ?value
28962,center,1.1,E REF ?F
19068,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
25004,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
26789,center,1.1,E REF ?F
22856,simple question right,1,<S P ?O ; ?O instanceOf Type>
24144,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
23391,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
15430,left-subgraph,5,C RCD xD . xD RDE ?E
1599,statement_property,Count_1,Count Obj (ent-pred-obj)
6182,statement_property,statement_property_2,(E pred F) prop ?value
29053,center,1.2,?D RDE E
16160,left-subgraph,5,C RCD xD . xD RDE ?E
16040,left-subgraph,5,C RCD xD . xD RDE ?E
28963,center,1.1,E REF ?F
25651,string matching type + relation contains word,4,<?S P O ; ?S instanceOf Type ; starts with character >
5633,statement_property,statement_property_2,(E pred F) prop ?value
29936,simple question left,2,<?S P O ; ?S InstanceOf Type>
19391,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
5548,statement_property,statement_property_1,(E pred ?Obj ) prop value
21480,simple question right,1,<S P ?O ; ?O instanceOf Type>
5659,statement_property,statement_property_2,(E pred F) prop ?value
22066,simple question left,2,<?S P O ; ?S InstanceOf Type>
28184,center,1.1,E REF ?F
12296,right-subgraph,1,E REF ?F . ?F RFG G
25069,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
8634,statement_property,statement_property_2,(E pred F) prop ?value
14772,right-subgraph,2,E REF xF . xF RFG ?G
29289,center,1.2,?D RDE E
13619,right-subgraph,1,E REF ?F . ?F RFG G
10690,,2,
9356,statement_property,statement_property_2,(E pred F) prop ?value
14102,right-subgraph,1,E REF ?F . ?F RFG G
24981,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
14718,left-subgraph,5,C RCD xD . xD RDE ?E
24382,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
18822,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
24744,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
22304,simple question left,2,<?S P O ; ?S InstanceOf Type>
18676,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
28186,center,1.1,E REF ?F
29038,center,1.2,?D RDE E
7584,statement_property,statement_property_1,(E pred ?Obj ) prop value
24411,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
995,boolean double one_hop right subgraph,2,Ask (ent-pred-obj1 . ent-pred-obj2)
16678,right-subgraph,2,E REF xF . xF RFG ?G
16235,left-subgraph,5,C RCD xD . xD RDE ?E
5814,statement_property,statement_property_2,(E pred F) prop ?value
20118,simple question left,2,<?S P O ; ?S InstanceOf Type>
1405,statement_property,Count_1,Count Obj (ent-pred-obj)
9589,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
15604,left-subgraph,5,C RCD xD . xD RDE ?E
9780,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
17846,left-subgraph,5,C RCD xD . xD RDE ?E
13197,right-subgraph,1,E REF ?F . ?F RFG G
6001,statement_property,statement_property_2,(E pred F) prop ?value
355,boolean one_hop right subgraph,1,Ask (ent-pred-obj)
8556,statement_property,statement_property_2,(E pred F) prop ?value
14950,right-subgraph,2,E REF xF . xF RFG ?G
7487,statement_property,statement_property_2,(E pred F) prop ?value
22612,simple question right,1,<S P ?O ; ?O instanceOf Type>
19877,simple question right,1,<S P ?O ; ?O instanceOf Type>
16757,right-subgraph,2,E REF xF . xF RFG ?G
4789,statement_property,statement_property_1,(E pred ?Obj ) prop value
2233,statement_property,Count_2,Count ent (ent-pred-obj)
555,boolean double one_hop right subgraph,2,Ask (ent-pred-obj1 . ent-pred-obj2)
26436,center,1.1,E REF ?F
24268,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
20813,simple question right,1,<S P ?O ; ?O instanceOf Type>
26386,center,1.1,E REF ?F
4719,statement_property,statement_property_2,(E pred F) prop ?value
28153,center,1.1,E REF ?F
5631,statement_property,statement_property_1,(E pred ?Obj ) prop value
1358,statement_property,Count_1,Count Obj (ent-pred-obj)
15442,left-subgraph,5,C RCD xD . xD RDE ?E
20050,simple question left,2,<?S P O ; ?S InstanceOf Type>
29460,center,1.1,E REF ?F
19446,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
7236,statement_property,statement_property_2,(E pred F) prop ?value
3975,statement_property,statement_property_2,(E pred F) prop ?value
27617,center,1.1,E REF ?F
12022,right-subgraph,1,E REF ?F . ?F RFG G
24320,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
24075,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
28637,center,1.1,E REF ?F
12784,right-subgraph,1,E REF ?F . ?F RFG G
9132,statement_property,statement_property_1,(E pred ?Obj ) prop value
17557,right-subgraph,2,E REF xF . xF RFG ?G
13446,right-subgraph,1,E REF ?F . ?F RFG G
2491,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
28219,center,1.1,E REF ?F
5085,statement_property,statement_property_2,(E pred F) prop ?value
22053,simple question left,2,<?S P O ; ?S InstanceOf Type>
7711,statement_property,statement_property_1,(E pred ?Obj ) prop value
17679,right-subgraph,2,E REF xF . xF RFG ?G
14880,right-subgraph,2,E REF xF . xF RFG ?G
13795,right-subgraph,1,E REF ?F . ?F RFG G
14126,right-subgraph,1,E REF ?F . ?F RFG G
22427,simple question right,1,<S P ?O ; ?O instanceOf Type>
3169,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value)
279,boolean one_hop right subgraph,1,Ask (ent-pred-obj)
20420,simple question left,2,<?S P O ; ?S InstanceOf Type>
22259,simple question left,2,<?S P O ; ?S InstanceOf Type>
8275,statement_property,statement_property_2,(E pred F) prop ?value
19950,simple question left,2,<?S P O ; ?S InstanceOf Type>
9574,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
8062,statement_property,statement_property_1,(E pred ?Obj ) prop value
26741,center,1.1,E REF ?F
1891,statement_property,Count_2,Count ent (ent-pred-obj)
28722,center,1.2,?D RDE E
11992,right-subgraph,1,E REF ?F . ?F RFG G
5048,statement_property,statement_property_2,(E pred F) prop ?value
11411,,3,
29996,simple question right,1,<S P ?O ; ?O instanceOf Type>
27068,center,1.1,E REF ?F
26886,center,1.1,E REF ?F
6265,statement_property,statement_property_1,(E pred ?Obj ) prop value
9959,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
27342,center,1.1,E REF ?F
15297,left-subgraph,5,C RCD xD . xD RDE ?E
13773,right-subgraph,1,E REF ?F . ?F RFG G
17752,right-subgraph,2,E REF xF . xF RFG ?G
17931,right-subgraph,2,E REF xF . xF RFG ?G
22847,simple question left,2,<?S P O ; ?S InstanceOf Type>
239,boolean one_hop right subgraph,1,Ask (ent-pred-obj`)
28292,center,1.1,E REF ?F
6640,statement_property,statement_property_2,(E pred F) prop ?value
1945,statement_property,Count_2,Count ent (ent-pred-obj)
17187,right-subgraph,2,E REF xF . xF RFG ?G
17905,left-subgraph,5,C RCD xD . xD RDE ?E
16200,right-subgraph,2,E REF xF . xF RFG ?G
2319,statement_property,Count_2,Count ent (ent-pred-obj)
28806,center,1.1,E REF ?F
16880,right-subgraph,2,E REF xF . xF RFG ?G
1050,statement_property,Count_1,Count Obj (ent-pred-obj)
16274,left-subgraph,5,C RCD xD . xD RDE ?E
1169,statement_property,Count_1,Count Obj (ent-pred-obj)
18979,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
2417,statement_property,Count_2,Count ent (ent-pred-obj)
9612,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
6476,statement_property,statement_property_2,(E pred F) prop ?value
3839,statement_property,statement_property_1,(E pred ?Obj ) prop value
18721,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
12089,right-subgraph,1,E REF ?F . ?F RFG G
8450,statement_property,statement_property_1,(E pred ?Obj ) prop value
20072,simple question left,2,<?S P O ; ?S InstanceOf Type>
18107,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
3832,statement_property,statement_property_2,(E pred F) prop ?value
8653,statement_property,statement_property_1,(E pred ?Obj ) prop value
2458,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
6271,statement_property,statement_property_1,(E pred ?Obj ) prop value
18711,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
23261,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
18569,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
4451,statement_property,statement_property_2,(E pred F) prop ?value
6004,statement_property,statement_property_2,(E pred F) prop ?value
25116,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
10322,,2,
27446,center,1.1,E REF ?F
9248,statement_property,statement_property_1,(E pred ?Obj ) prop value
18586,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
3095,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value)
6838,statement_property,statement_property_1,(E pred ?Obj ) prop value
22019,simple question left,2,<?S P O ; ?S InstanceOf Type>
2798,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
5425,statement_property,statement_property_1,(E pred ?Obj ) prop value
9466,statement_property,statement_property_2,(E pred F) prop ?value
7339,statement_property,statement_property_1,(E pred ?Obj ) prop value
12259,right-subgraph,1,E REF ?F . ?F RFG G
4060,statement_property,statement_property_2,(E pred F) prop ?value
26872,center,1.1,E REF ?F
990,boolean double one_hop right subgraph,2,Ask (ent-pred-obj1 . ent-pred-obj2`)
24216,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
16118,left-subgraph,5,C RCD xD . xD RDE ?E
25151,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
6799,statement_property,statement_property_1,(E pred ?Obj ) prop value
23643,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
4822,statement_property,statement_property_1,(E pred ?Obj ) prop value
803,boolean double one_hop right subgraph,2,Ask (ent-pred-obj1 . ent-pred-obj2`)
10557,,2,
24622,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
21337,simple question right,1,<S P ?O ; ?O instanceOf Type>
22167,simple question left,2,<?S P O ; ?S InstanceOf Type>
25552,string matching type + relation contains word,4,<?S P O ; ?S instanceOf Type ; starts with character >
2295,statement_property,Count_2,Count ent (ent-pred-obj)
17213,right-subgraph,2,E REF xF . xF RFG ?G
25481,string matching type + relation contains word,4,<?S P O ; ?S instanceOf Type ; starts with character >
11416,,3,
6302,statement_property,statement_property_2,(E pred F) prop ?value
19757,simple question left,2,<?S P O ; ?S InstanceOf Type>
22047,simple question left,2,<?S P O ; ?S InstanceOf Type>
1486,statement_property,Count_1,Count Obj (ent-pred-obj)
9717,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
16701,left-subgraph,5,C RCD xD . xD RDE ?E
27760,center,1.1,E REF ?F
22216,simple question left,2,<?S P O ; ?S InstanceOf Type>
4309,statement_property,statement_property_1,(E pred ?Obj ) prop value
13661,right-subgraph,1,E REF ?F . ?F RFG G
17938,right-subgraph,2,E REF xF . xF RFG ?G
7981,statement_property,statement_property_2,(E pred F) prop ?value
2751,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
12235,right-subgraph,1,E REF ?F . ?F RFG G
13088,right-subgraph,1,E REF ?F . ?F RFG G
15072,left-subgraph,5,C RCD xD . xD RDE ?E
24495,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
21959,simple question left,2,<?S P O ; ?S InstanceOf Type>
26330,center,1.1,E REF ?F
25910,center,1.2,?D RDE E
1356,statement_property,Count_1,Count Obj (ent-pred-obj)
24526,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
15222,left-subgraph,5,C RCD xD . xD RDE ?E
17155,left-subgraph,5,C RCD xD . xD RDE ?E
11571,,3,
18975,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
17633,left-subgraph,5,C RCD xD . xD RDE ?E
26648,center,1.1,E REF ?F
19469,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
15010,left-subgraph,5,C RCD xD . xD RDE ?E
25444,string matching type + relation contains word,4,<?S P O ; ?S instanceOf Type ; starts with character >
10378,,2,
20546,simple question right,1,<S P ?O ; ?O instanceOf Type>
21290,simple question right,1,<S P ?O ; ?O instanceOf Type>
20779,simple question right,1,<S P ?O ; ?O instanceOf Type>
19484,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
20433,simple question right,1,<S P ?O ; ?O instanceOf Type>
27027,center,1.1,E REF ?F
6995,statement_property,statement_property_2,(E pred F) prop ?value
326,boolean one_hop right subgraph,1,Ask (ent-pred-obj)
4030,statement_property,statement_property_1,(E pred ?Obj ) prop value
24343,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
19590,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
13253,right-subgraph,1,E REF ?F . ?F RFG G
18599,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
2959,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value)
22726,simple question right,1,<S P ?O ; ?O instanceOf Type>
18953,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
16724,right-subgraph,2,E REF xF . xF RFG ?G
5822,statement_property,statement_property_2,(E pred F) prop ?value
1951,statement_property,Count_2,Count ent (ent-pred-obj)
13266,right-subgraph,1,E REF ?F . ?F RFG G
24846,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
6033,statement_property,statement_property_1,(E pred ?Obj ) prop value
10302,,2,
9317,statement_property,statement_property_1,(E pred ?Obj ) prop value
20235,simple question left,2,<?S P O ; ?S InstanceOf Type>
20850,simple question right,1,<S P ?O ; ?O instanceOf Type>
17894,right-subgraph,2,E REF xF . xF RFG ?G
754,boolean double one_hop right subgraph,2,Ask (ent-pred-obj1 . ent-pred-obj2)
2552,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
5672,statement_property,statement_property_1,(E pred ?Obj ) prop value
14971,right-subgraph,2,E REF xF . xF RFG ?G
18234,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
28971,center,1.2,?D RDE E
18156,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
18116,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
6974,statement_property,statement_property_2,(E pred F) prop ?value
27529,center,1.1,E REF ?F
10549,,2,
14546,right-subgraph,2,E REF xF . xF RFG ?G
7317,statement_property,statement_property_2,(E pred F) prop ?value
13123,right-subgraph,1,E REF ?F . ?F RFG G
23537,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
14101,right-subgraph,1,E REF ?F . ?F RFG G
15397,right-subgraph,2,E REF xF . xF RFG ?G
24579,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
18884,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
30011,simple question left,2,<?S P O ; ?S InstanceOf Type>
26080,center,1.1,E REF ?F
25859,center,1.1,E REF ?F
2483,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
15566,right-subgraph,2,E REF xF . xF RFG ?G
26441,center,1.1,E REF ?F
20977,simple question right,1,<S P ?O ; ?O instanceOf Type>
4469,statement_property,statement_property_2,(E pred F) prop ?value
21457,simple question left,2,<?S P O ; ?S InstanceOf Type>
20930,simple question left,2,<?S P O ; ?S InstanceOf Type>
20971,simple question left,2,<?S P O ; ?S InstanceOf Type>
22882,simple question right,1,<S P ?O ; ?O instanceOf Type>
20811,simple question right,1,<S P ?O ; ?O instanceOf Type>
504,boolean double one_hop right subgraph,2,Ask (ent-pred-obj1 . ent-pred-obj2`)
4107,statement_property,statement_property_2,(E pred F) prop ?value
25785,center,1.1,E REF ?F
8233,statement_property,statement_property_2,(E pred F) prop ?value
20521,simple question left,2,<?S P O ; ?S InstanceOf Type>
15681,right-subgraph,2,E REF xF . xF RFG ?G
23154,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
13517,right-subgraph,1,E REF ?F . ?F RFG G
1252,statement_property,Count_1,Count Obj (ent-pred-obj)
21659,simple question left,2,<?S P O ; ?S InstanceOf Type>
14117,right-subgraph,1,E REF ?F . ?F RFG G
1026,statement_property,Count_1,Count Obj (ent-pred-obj)
7991,statement_property,statement_property_1,(E pred ?Obj ) prop value
20352,simple question left,2,<?S P O ; ?S InstanceOf Type>
25764,center,1.2,?D RDE E
21702,simple question right,1,<S P ?O ; ?O instanceOf Type>
22154,simple question right,1,<S P ?O ; ?O instanceOf Type>
2718,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
26936,center,1.1,E REF ?F
27113,center,1.1,E REF ?F
18921,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
12339,right-subgraph,1,E REF ?F . ?F RFG G
11572,,3,
26906,center,1.1,E REF ?F
27005,center,1.1,E REF ?F
16929,right-subgraph,2,E REF xF . xF RFG ?G
24860,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
22769,simple question right,1,<S P ?O ; ?O instanceOf Type>
7795,statement_property,statement_property_2,(E pred F) prop ?value
24607,string matching simple contains word,2,<?S P O ; ?S instanceOf Type ; starts with character >
12044,right-subgraph,1,E REF ?F . ?F RFG G
1698,statement_property,Count_2,Count ent (ent-pred-obj)
1293,statement_property,Count_1,Count Obj (ent-pred-obj)
401,boolean one_hop right subgraph,1,Ask (ent-pred-obj)
12083,right-subgraph,1,E REF ?F . ?F RFG G
10485,,2,
14753,left-subgraph,5,C RCD xD . xD RDE ?E
28778,center,1.1,E REF ?F
7513,statement_property,statement_property_2,(E pred F) prop ?value
7893,statement_property,statement_property_2,(E pred F) prop ?value
1837,statement_property,Count_2,Count ent (ent-pred-obj)
3486,rank,Rank2,?E is_a Type. ?E pred Obj. ?E-secondClause value. MIN (value)
